date,open,high,low,close,volume
2010-01-04,1.611799955368042,1.6234999895095825,1.6052000522613525,1.6085000038146973,107463
2010-01-05,1.6086000204086304,1.614799976348877,1.5958000421524048,1.5992000102996826,102364
2010-01-06,1.5982999801635742,1.6059000492095947,1.593000054359436,1.5992000102996826,106163
2010-01-07,1.5997999906539917,1.6052000522613525,1.5889999866485596,1.593500018119812,90873
2010-01-08,1.5923999547958374,1.6104999780654907,1.5908000469207764,1.6026999950408936,122147
2010-01-11,1.6051000356674194,1.6188000440597534,1.6051000356674194,1.6094000339508057,80749
2010-01-12,1.6105999946594238,1.61899995803833,1.6054999828338623,1.6171000003814697,91563
2010-01-13,1.6158000230789185,1.6301000118255615,1.6131000518798828,1.627500057220459,124037
2010-01-14,1.6265000104904175,1.6340999603271484,1.624400019645691,1.6324000358581543,81534
2010-01-15,1.6325000524520874,1.6348999738693237,1.6204999685287476,1.6253000497817993,102987
2010-01-19,1.6266000270843506,1.645400047302246,1.624400019645691,1.6354999542236328,167277
2010-01-20,1.6354999542236328,1.636299967765808,1.6237000226974487,1.628100037574768,119134
2010-01-21,1.6287000179290771,1.6305999755859375,1.6117000579833984,1.620300054550171,152647
2010-01-22,1.6186000108718872,1.6279000043869019,1.607100009918213,1.611199975013733,154259
2010-01-25,1.6100000143051147,1.625599980354309,1.6089999675750732,1.6238000392913818,99066
2010-01-26,1.623900055885315,1.6262999773025513,1.6088000535964966,1.6138999462127686,136692
2010-01-27,1.6141999959945679,1.6239999532699585,1.6101000308990479,1.6167999505996704,127323
2010-01-28,1.6167999505996704,1.6273000240325928,1.6105999946594238,1.6122000217437744,140758
2010-01-29,1.6122000217437744,1.617400050163269,1.597499966621399,1.5986000299453735,147214
2010-02-01,1.5937999486923218,1.597499966621399,1.5844999551773071,1.5949000120162964,117861
2010-02-02,1.595900058746338,1.5992000102996826,1.589900016784668,1.597000002861023,98193
2010-02-03,1.5973999500274658,1.6067999601364136,1.5872999429702759,1.5891000032424927,100952
2010-02-04,1.5898000001907349,1.5916999578475952,1.5724999904632568,1.5751999616622925,165376
2010-02-05,1.5758999586105347,1.5771000385284424,1.555400013923645,1.559999942779541,175838
2010-02-08,1.5599000453948975,1.5657000541687012,1.5530999898910522,1.5608999729156494,93544
2010-02-09,1.5586999654769897,1.5744999647140503,1.555799961090088,1.5681999921798706,151950
2010-02-10,1.570199966430664,1.576200008392334,1.5566999912261963,1.558500051498413,143605
2010-02-11,1.5598000288009644,1.5714000463485718,1.5555000305175781,1.569200038909912,153797
2010-02-12,1.5693000555038452,1.5740000009536743,1.5576000213623047,1.5663000345230103,124316
2010-02-16,1.5663000345230103,1.5793999433517456,1.5607999563217163,1.5777000188827515,128429
2010-02-17,1.5779000520706177,1.5813000202178955,1.5662000179290771,1.56850004196167,107722
2010-02-18,1.5681999921798706,1.5686999559402466,1.548699975013733,1.562399983406067,126921
2010-02-19,1.5484999418258667,1.549299955368042,1.5335999727249146,1.5463000535964966,135876
2010-02-22,1.5448999404907227,1.551900029182434,1.5428999662399292,1.5485999584197998,91812
2010-02-23,1.5476000308990479,1.5573999881744385,1.5391000509262085,1.544100046157837,151052
2010-02-24,1.5429999828338623,1.5475000143051147,1.5384000539779663,1.5396000146865845,120674
2010-02-25,1.5410000085830688,1.542099952697754,1.5187000036239624,1.524399995803833,177619
2010-02-26,1.5262000560760498,1.5319000482559204,1.5149999856948853,1.5245000123977661,159976
2010-03-01,1.5156999826431274,1.5204999446868896,1.4778000116348267,1.5008000135421753,209836
2010-03-02,1.4991999864578247,1.4996999502182007,1.4852999448776245,1.4947999715805054,163389
2010-03-03,1.496000051498413,1.513100028038025,1.4958000183105469,1.5092999935150146,159277
2010-03-04,1.51010000705719,1.5135999917984009,1.500499963760376,1.5029000043869019,132175
2010-03-05,1.5025999546051025,1.516700029373169,1.4991999864578247,1.5156999826431274,147250
2010-03-08,1.5148999691009521,1.5196000337600708,1.503000020980835,1.5074000358581543,158274
2010-03-09,1.5058000087738037,1.5058000087738037,1.493499994277954,1.4987000226974487,147831
2010-03-10,1.4997999668121338,1.5017000436782837,1.4872000217437744,1.4973000288009644,160214
2010-03-11,1.4982000589370728,1.5068000555038452,1.4945000410079956,1.5048999786376953,83265
