rank,model_key,pair,timeframe,brain,train_pf,oos_raw_pf,oos_adj_pf,overfit_ratio,consistency_score,composite_score,trade_ratio,n_oos_bars,sub_pf_min,sub_pf_max
1,GBPUSD_M15_et_optuna,GBPUSD,M15,et_optuna,4.4045,4.4031,2.3877,1.8446,12.9209,5.172968914943947,0.2924,74780,2.2068,2.771
2,AUDUSD_H1_et_optuna,AUDUSD,H1,et_optuna,9.6285,9.6285,6.7219,1.4324,5.6022,5.172124226050639,0.1758,18699,4.594,8.1165
3,AUDUSD_H1_xgb_optuna,AUDUSD,H1,xgb_optuna,9.2106,9.2083,6.5934,1.3969,4.2767,4.713319459549736,0.1648,18699,4.6766,8.5442
4,EURUSD_H1_xgb_optuna,EURUSD,H1,xgb_optuna,10.7466,10.7524,7.1192,1.5095,2.3771,4.39699219322771,0.2651,18700,3.0311,11.6779
5,GBPUSD_M15_lgb_optuna,GBPUSD,M15,lgb_optuna,4.472,4.4693,2.6162,1.7094,9.3356,4.219313878633801,0.3237,74780,2.2246,2.9388
6,AUDUSD_H1_cat_optuna,AUDUSD,H1,cat_optuna,9.0843,9.082,6.3133,1.4389,3.0961,4.215442960556241,0.1803,18699,4.4203,10.0581
7,GBPUSD_M15_cat_v2_optuna,GBPUSD,M15,cat_v2_optuna,3.7844,3.8186,2.308,1.6397,9.7781,4.20239234983043,0.517,74780,2.0185,2.7159
8,AUDUSD_H1_lgb_v2_optuna,AUDUSD,H1,lgb_v2_optuna,6.2885,6.2865,4.8195,1.3048,4.8967,4.021129020501139,0.2872,18699,3.7112,6.3715
9,GBPUSD_M15_xgb_v2_optuna,GBPUSD,M15,xgb_v2_optuna,3.8585,3.857,2.3159,1.6661,8.978,3.9645938706754995,0.4838,74780,1.8911,2.7389
10,AUDUSD_M15_wavenet_optuna,AUDUSD,M15,wavenet_optuna,3.9022,3.2732,2.1726,1.7961,8.7103,3.8048696687938404,0.4769,74786,1.9016,2.5756
11,EURUSD_H1_lgb_optuna,EURUSD,H1,lgb_optuna,8.3918,8.3824,5.9179,1.418,2.3623,3.799392305665349,0.3312,18700,2.7059,9.4638
12,AUDUSD_H1_nbeats_optuna,AUDUSD,H1,nbeats_optuna,7.2631,5.3605,4.2901,1.693,4.7213,3.6729848968209704,0.3276,18699,3.1436,5.602
13,AUDUSD_H1_wavenet_optuna,AUDUSD,H1,wavenet_optuna,5.6697,5.8111,4.3931,1.2906,4.3852,3.655932810297713,0.2719,18699,2.7175,5.9536
14,EURUSD_H1_et_optuna,EURUSD,H1,et_optuna,8.8181,8.8243,5.7281,1.5394,2.1545,3.6323958521410273,0.2132,18700,2.7274,9.8039
15,GBPUSD_M15_lgb_v2_optuna,GBPUSD,M15,lgb_v2_optuna,3.9357,4.0095,2.4018,1.6387,7.6908,3.6231684695462127,0.4217,74780,1.8322,2.7202
16,AUDUSD_H1_residual_mlp_optuna,AUDUSD,H1,residual_mlp_optuna,5.655,4.5903,3.7659,1.5016,5.2477,3.5821351248751245,0.413,18699,2.7552,4.8288
17,AUDUSD_H1_mlp_optuna,AUDUSD,H1,mlp_optuna,5.8655,4.5477,3.7445,1.5664,5.1665,3.5422192030724915,0.3879,18699,2.6339,4.6309
18,EURUSD_H1_xgb_v2_optuna,EURUSD,H1,xgb_v2_optuna,7.4009,7.405,5.4033,1.3697,2.1572,3.4848921936449613,0.3617,18700,2.4506,8.5805
19,AUDUSD_H1_lstm_optuna,AUDUSD,H1,lstm_optuna,5.4069,5.4775,4.3323,1.248,3.7348,3.434957952522255,0.3226,18699,2.8796,6.4644
20,AUDUSD_M15_tcn_optuna,AUDUSD,M15,tcn_optuna,3.4508,2.9327,2.0378,1.6934,7.6137,3.4145300178432025,0.5541,74786,1.6885,2.4704
21,GBPUSD_M15_nbeats_optuna,GBPUSD,M15,nbeats_optuna,3.6469,3.4475,1.8825,1.9373,7.8252,3.386979145437589,0.3895,74780,1.4376,2.2028
22,AUDUSD_H1_xgb_v2_optuna,AUDUSD,H1,xgb_v2_optuna,5.4852,5.4817,4.254,1.2894,3.7178,3.3862870274938817,0.3061,18699,2.4349,6.3341
23,EURUSD_M30_rf_optuna,EURUSD,M30,rf_optuna,7.5505,7.5505,4.7499,1.5896,2.8526,3.349101212121212,0.2075,37399,1.9435,7.0771
24,USDCHF_H1_rf_optuna,USDCHF,H1,rf_optuna,7.6066,7.6132,5.0029,1.5204,2.3951,3.3434063144902493,0.2694,18693,3.2363,9.7454
25,AUDUSD_M15_nbeats_optuna,AUDUSD,M15,nbeats_optuna,3.9299,2.7904,2.0382,1.9282,7.2544,3.2940296045754858,0.6219,74786,1.6548,2.4903
26,USDCHF_M30_rf_optuna,USDCHF,M30,rf_optuna,7.3639,7.3833,4.0478,1.8192,3.8016,3.268590087536473,0.225,37383,2.6076,6.2662
27,AUDUSD_H1_lgb_optuna,AUDUSD,H1,lgb_optuna,7.7021,5.9504,4.7352,1.6266,2.5149,3.2379045882080386,0.1835,18699,2.4578,9.1547
28,GBPUSD_M15_cat_optuna,GBPUSD,M15,cat_optuna,5.1252,5.1267,2.6788,1.9133,5.9352,3.2192993930363083,0.2232,74780,2.1931,3.4259
29,AUDUSD_H1_attention_net_optuna,AUDUSD,H1,attention_net_optuna,7.6845,5.0608,4.0604,1.8926,3.5212,3.1869313740841108,0.2594,18699,3.174,6.334
30,EURUSD_H1_rf_optuna,EURUSD,H1,rf_optuna,6.5473,6.5499,4.6618,1.4045,2.1365,3.104784529744101,0.2578,18700,2.1741,8.4184
31,GBPUSD_M15_mlp_optuna,GBPUSD,M15,mlp_optuna,3.4275,3.0635,1.9446,1.7626,6.7386,3.1012567851390527,0.5994,74780,1.3779,2.2354
32,EURUSD_H1_cat_optuna,EURUSD,H1,cat_optuna,6.5405,6.5431,4.6019,1.4213,2.223,3.0993165089068557,0.2496,18700,2.2846,8.5509
33,AUDUSD_H1_tft_optuna,AUDUSD,H1,tft_optuna,5.2773,4.8996,3.9524,1.3352,3.1743,3.0678434002229653,0.3342,18699,2.4611,6.5546
34,GBPUSD_M15_tabnet_optuna,GBPUSD,M15,tabnet_optuna,3.239,3.239,1.8881,1.7155,6.6909,3.0614824896722665,0.5268,74780,1.5513,2.388
35,AUDUSD_M15_gru_optuna,AUDUSD,M15,gru_optuna,3.6439,3.5646,2.5103,1.4516,5.5817,3.058559200824955,0.5579,74786,1.8355,3.154
36,AUDUSD_H1_cat_v2_optuna,AUDUSD,H1,cat_v2_optuna,4.7726,4.7702,3.834,1.2448,3.2927,3.053530999405116,0.4003,18699,2.2534,6.3814
37,AUDUSD_M15_cat_v2_optuna,AUDUSD,M15,cat_v2_optuna,3.6624,3.6606,2.5431,1.4401,5.3354,3.0020316972923835,0.5504,74786,1.9221,3.335
38,EURUSD_H1_tabnet_optuna,EURUSD,H1,tabnet_optuna,5.5271,5.5305,4.0552,1.3629,2.6803,2.9684047446852144,0.2596,18700,1.5768,6.0962
39,AUDUSD_H1_ensemble_nn_optuna,AUDUSD,H1,ensemble_nn_optuna,5.5649,4.6551,3.9097,1.4233,2.9304,2.9652639013982798,0.3642,18699,2.4397,6.3419
40,EURUSD_M30_et_optuna,EURUSD,M30,et_optuna,5.39,5.3897,3.7599,1.4335,3.1518,2.9559106064558205,0.3011,37399,1.5581,5.3918
41,AUDUSD_M15_residual_mlp_optuna,AUDUSD,M15,residual_mlp_optuna,3.7264,3.4854,2.3768,1.5679,5.4183,2.933801265663409,0.4357,74786,1.918,3.1484
42,EURUSD_H1_cat_v2_optuna,EURUSD,H1,cat_v2_optuna,5.6023,5.6042,4.3638,1.2838,2.0097,2.9293395562942623,0.4149,18700,2.3692,7.968
43,GBPUSD_M15_transformer_optuna,GBPUSD,M15,transformer_optuna,3.7907,3.6506,2.1552,1.7589,5.7909,2.9224605105169723,0.4161,74780,1.8197,2.9306
44,AUDUSD_H1_tabnet_optuna,AUDUSD,H1,tabnet_optuna,5.0736,5.07,3.8987,1.3014,2.7009,2.902334428428714,0.2893,18699,2.8558,7.6074
45,AUDUSD_H1_gru_optuna,AUDUSD,H1,gru_optuna,5.7175,4.4958,3.7283,1.5336,3.0393,2.8983689911851123,0.3426,18699,2.0878,5.9171
46,AUDUSD_M15_lstm_optuna,AUDUSD,M15,lstm_optuna,3.6933,3.1895,2.2787,1.6208,5.3839,2.870745011622501,0.6044,74786,1.7819,2.9774
47,AUDUSD_M15_tabnet_optuna,AUDUSD,M15,tabnet_optuna,3.6118,3.6106,2.3737,1.5216,5.1655,2.859834977799704,0.4694,74786,1.8619,3.3185
48,EURUSD_M30_xgb_optuna,EURUSD,M30,xgb_optuna,4.7827,4.7818,3.532,1.3541,3.1612,2.851902122274947,0.2683,37399,2.0028,5.9344
49,GBPUSD_H1_gru_optuna,GBPUSD,H1,gru_optuna,3.534,3.3926,2.471,1.4302,4.9357,2.8469118690367274,0.4211,18698,1.6767,3.1753
50,GBPUSD_M15_xgb_optuna,GBPUSD,M15,xgb_optuna,6.3991,6.3977,3.4508,1.8544,3.3778,2.8410731968890706,0.1686,74780,2.8283,5.916
51,GBPUSD_M15_gru_optuna,GBPUSD,M15,gru_optuna,3.5839,3.2313,2.0766,1.7258,5.6393,2.839631023113156,0.6161,74780,1.4463,2.5027
52,AUDUSD_M15_xgb_v2_optuna,AUDUSD,M15,xgb_v2_optuna,4.1568,4.1549,2.7914,1.4892,4.3614,2.829969484017115,0.4592,74786,1.9869,3.8542
53,AUDUSD_H1_transformer_optuna,AUDUSD,H1,transformer_optuna,5.5852,4.3219,3.5642,1.567,3.0187,2.80768600479904,0.3764,18699,1.774,5.6166
54,GBPUSD_H1_lstm_optuna,GBPUSD,H1,lstm_optuna,3.4867,3.1784,2.4074,1.4483,4.9006,2.8030539327003807,0.4899,18698,2.0506,3.4945
55,GBPUSD_M30_cat_optuna,GBPUSD,M30,cat_optuna,5.0068,5.0107,3.2693,1.5315,3.4852,2.8027965767698433,0.3132,37394,2.2096,4.8813
56,AUDUSD_M15_lgb_v2_optuna,AUDUSD,M15,lgb_v2_optuna,4.0389,4.0376,2.73,1.4794,4.308,2.784030365961758,0.4785,74786,1.996,3.8448
57,EURUSD_H1_attention_net_optuna,EURUSD,H1,attention_net_optuna,6.1967,5.0719,3.8054,1.6284,2.3984,2.7379339551029855,0.2849,18700,1.6671,6.106
58,GBPUSD_M15_residual_mlp_optuna,GBPUSD,M15,residual_mlp_optuna,3.4282,2.9213,1.8739,1.8295,5.6202,2.72666379632029,0.5958,74780,1.3349,2.3339
59,AUDUSD_M15_tft_optuna,AUDUSD,M15,tft_optuna,3.8756,3.6725,2.5267,1.5338,4.4393,2.717554004162076,0.5441,74786,1.8349,3.6904
60,AUDUSD_M15_xgb_optuna,AUDUSD,M15,xgb_optuna,6.2816,6.2816,3.6011,1.7443,2.674,2.711192227403351,0.1585,74786,2.3971,5.9374
61,EURUSD_M30_residual_mlp_optuna,EURUSD,M30,residual_mlp_optuna,3.9453,3.7658,2.9258,1.3484,3.6727,2.7027934023750344,0.5031,37399,1.5854,3.7019
62,EURUSD_H1_ensemble_nn_optuna,EURUSD,H1,ensemble_nn_optuna,5.3979,4.9247,3.7094,1.4552,2.3579,2.6906708230452674,0.3618,18700,1.5225,6.0645
63,GBPUSD_M15_wavenet_optuna,GBPUSD,M15,wavenet_optuna,3.3567,3.0258,1.765,1.9017,5.6828,2.68725507218864,0.4559,74780,1.2437,2.2958
64,GBPUSD_H1_xgb_optuna,GBPUSD,H1,xgb_optuna,4.8218,4.8352,3.3675,1.4319,2.8475,2.66855682485802,0.2932,18698,2.2723,5.5599
65,AUDUSD_M15_et_optuna,AUDUSD,M15,et_optuna,4.6486,4.6471,2.7724,1.6767,3.8668,2.658808244498227,0.3075,74786,1.8892,3.7369
66,EURUSD_M30_tft_optuna,EURUSD,M30,tft_optuna,3.8018,3.699,2.9494,1.289,3.4629,2.657558480921526,0.4678,37399,1.7958,4.3235
67,EURUSD_M30_lstm_optuna,EURUSD,M30,lstm_optuna,3.909,3.5077,2.7973,1.3974,3.712,2.645814845732603,0.4944,37399,1.8611,4.2384
68,EURUSD_M30_tcn_optuna,EURUSD,M30,tcn_optuna,3.4397,4.0539,2.8974,1.1872,3.3376,2.6053560099440647,0.1322,37399,1.279,3.5327
69,GBPUSD_M15_lstm_optuna,GBPUSD,M15,lstm_optuna,3.5571,3.3984,2.0974,1.696,4.7999,2.6000285746102447,0.6009,74780,1.58,2.8787
70,EURUSD_M30_ensemble_nn_optuna,EURUSD,M30,ensemble_nn_optuna,3.5544,3.2856,2.6493,1.3417,3.7756,2.5960551161822845,0.4456,37399,1.8077,3.9028
71,EURUSD_M30_cat_optuna,EURUSD,M30,cat_optuna,4.3268,4.3258,3.1951,1.3542,2.8023,2.575772664007702,0.3327,37399,1.9223,5.6959
72,EURUSD_M30_cat_v2_optuna,EURUSD,M30,cat_v2_optuna,3.4511,3.451,2.7339,1.2623,3.5329,2.573630540996844,0.5294,37399,1.6162,4.081
73,GBPUSD_M30_cat_v2_optuna,GBPUSD,M30,cat_v2_optuna,4.078,4.0791,2.8246,1.4438,3.4112,2.565210459904133,0.5159,37394,1.7458,4.3812
74,GBPUSD_M15_ensemble_nn_optuna,GBPUSD,M15,ensemble_nn_optuna,3.1918,3.0164,1.9077,1.6731,4.9646,2.5560267965709773,0.6085,74780,1.3487,2.4987
75,EURUSD_M30_lgb_v2_optuna,EURUSD,M30,lgb_v2_optuna,3.9102,3.8596,2.994,1.306,3.0535,2.5552975106685634,0.4092,37399,2.1329,5.0503
76,EURUSD_H1_wavenet_optuna,EURUSD,H1,wavenet_optuna,5.2562,4.3155,3.2557,1.6145,2.6931,2.552432085156022,0.3594,18700,1.2587,5.4767
77,AUDUSD_M15_cat_optuna,AUDUSD,M15,cat_optuna,4.6525,4.6519,2.8651,1.6239,3.3106,2.5417460102094087,0.3227,74786,1.9839,4.6222
78,EURUSD_M15_tcn_optuna,EURUSD,M15,tcn_optuna,2.5275,2.0374,1.3456,1.8783,5.8837,2.5390069013799725,0.4324,74790,1.0188,1.5311
79,AUDUSD_M15_lgb_optuna,AUDUSD,M15,lgb_optuna,4.8447,4.8462,2.9813,1.625,3.0769,2.5296620289855074,0.251,74786,2.1949,4.8305
80,EURUSD_M30_transformer_optuna,EURUSD,M30,transformer_optuna,3.6506,3.2911,2.5763,1.417,3.6851,2.5255191562294,0.5477,37399,1.6262,3.4665
81,EURUSD_M30_gru_optuna,EURUSD,M30,gru_optuna,3.9054,3.4216,2.7473,1.4215,3.3915,2.522549227735787,0.5015,37399,1.6992,4.0453
82,AUDUSD_H1_cnn1d_optuna,AUDUSD,H1,cnn1d_optuna,4.3662,3.6006,2.8774,1.5174,3.1379,2.503725249165327,0.4476,18699,2.1779,5.0705
