rank,model_key,pair,timeframe,brain,train_pf,oos_raw_pf,oos_adj_pf,overfit_ratio,consistency_score,composite_score,trade_ratio,n_oos_bars,sub_pf_min,sub_pf_max
1,AUDUSD_H1_et_optuna,AUDUSD,H1,et_optuna,9.6285,9.6285,8.0062,1.2026,5.3088,5.749279075694764,0.1758,18699,5.4703,9.8428
2,GBPUSD_M15_et_optuna,GBPUSD,M15,et_optuna,4.4045,4.4031,3.1921,1.3798,12.4501,5.4662333991079874,0.2924,74780,2.8911,3.7444
3,AUDUSD_H1_xgb_optuna,AUDUSD,H1,xgb_optuna,9.2106,9.2083,7.7666,1.1859,3.9748,5.231273089664826,0.1648,18699,5.4103,10.8303
4,EURUSD_H1_xgb_optuna,EURUSD,H1,xgb_optuna,10.7466,10.7524,8.6974,1.2356,2.4078,5.220785432764301,0.2651,18700,3.8264,14.8574
5,GBPUSD_M15_cat_v2_optuna,GBPUSD,M15,cat_v2_optuna,3.7844,3.8186,2.9557,1.2804,11.9646,5.212115540423066,0.517,74780,2.6568,3.3287
6,GBPUSD_M15_xgb_v2_optuna,GBPUSD,M15,xgb_v2_optuna,3.8585,3.857,2.9722,1.2982,11.3894,5.045961052782149,0.4838,74780,2.5179,3.2488
7,AUDUSD_M15_wavenet_optuna,AUDUSD,M15,wavenet_optuna,3.9022,3.2732,2.661,1.4665,11.4494,4.8929931567188,0.4769,74786,2.3321,3.0381
8,AUDUSD_H1_cat_optuna,AUDUSD,H1,cat_optuna,9.0843,9.082,7.5375,1.2052,2.8568,4.779023220962304,0.1803,18699,5.1863,12.1912
9,GBPUSD_M15_lgb_optuna,GBPUSD,M15,lgb_optuna,4.472,4.4693,3.3864,1.3206,9.6654,4.733605583556243,0.3237,74780,2.8285,3.8028
10,EURUSD_M5_attention_net_optuna,EURUSD,M5,attention_net_optuna,1.7151,1.431,1.0054,1.7059,12.871,4.474748103438729,0.6023,224273,0.8318,1.0532
11,EURUSD_H1_lgb_optuna,EURUSD,H1,lgb_optuna,8.3918,8.3824,7.0301,1.1937,2.4596,4.407525346680065,0.3312,18700,3.217,10.72
12,GBPUSD_M15_rf_optuna,GBPUSD,M15,rf_optuna,6.0083,6.0121,4.1309,1.4545,7.2526,4.369888732711483,0.1786,74780,3.4824,5.0432
13,EURUSD_H1_et_optuna,EURUSD,H1,et_optuna,8.8181,8.8243,7.0621,1.2487,2.0555,4.295990946837696,0.2132,18700,3.3254,12.937
14,AUDUSD_H1_lgb_v2_optuna,AUDUSD,H1,lgb_v2_optuna,6.2885,6.2865,5.5032,1.1427,4.4901,4.259569888951477,0.2872,18699,4.1602,7.4513
15,GBPUSD_M15_cat_optuna,GBPUSD,M15,cat_optuna,5.1252,5.1267,3.6307,1.4116,7.3244,4.144980134956338,0.2232,74780,3.1126,4.4115
16,EURUSD_M30_rf_optuna,EURUSD,M30,rf_optuna,7.5505,7.5505,5.9434,1.2704,3.065,4.037142790426152,0.2075,37399,2.6295,8.518
17,EURUSD_H1_xgb_v2_optuna,EURUSD,H1,xgb_v2_optuna,7.4009,7.405,6.3231,1.1704,2.178,3.9723807304785894,0.3617,18700,2.9287,10.3761
18,AUDUSD_H1_wavenet_optuna,AUDUSD,H1,wavenet_optuna,5.6697,5.8111,5.0486,1.123,4.2625,3.966582297628782,0.2719,18699,3.1348,6.7695
19,AUDUSD_H1_nbeats_optuna,AUDUSD,H1,nbeats_optuna,7.2631,5.3605,4.8006,1.5129,4.7366,3.9452802480004956,0.3276,18699,3.4588,6.2506
20,GBPUSD_M15_lgb_v2_optuna,GBPUSD,M15,lgb_v2_optuna,3.9357,4.0095,3.0823,1.2769,7.4885,3.9329538310697947,0.4217,74780,2.4055,3.6483
21,USDCHF_M30_rf_optuna,USDCHF,M30,rf_optuna,7.3639,7.3833,5.4509,1.3509,3.5084,3.9158154752222756,0.225,37383,3.1169,8.4954
22,AUDUSD_M15_nbeats_optuna,AUDUSD,M15,nbeats_optuna,3.9299,2.7904,2.3903,1.6441,8.6395,3.9016723238346422,0.6219,74786,2.0171,2.8394
23,AUDUSD_M15_tcn_optuna,AUDUSD,M15,tcn_optuna,3.4508,2.9327,2.4447,1.4115,8.416,3.879468888521336,0.5541,74786,1.9977,2.8569
24,USDCHF_H1_rf_optuna,USDCHF,H1,rf_optuna,7.6066,7.6132,6.2002,1.2268,2.0709,3.8721086192342478,0.2694,18693,3.9151,13.9108
25,EURUSD_M5_transformer_optuna,EURUSD,M5,transformer_optuna,1.7141,1.4466,1.0237,1.6744,10.6353,3.8151541568981067,0.5487,224273,0.8596,1.1665
26,AUDUSD_H1_residual_mlp_optuna,AUDUSD,H1,residual_mlp_optuna,5.655,4.5903,4.165,1.3577,5.0077,3.7220124422034715,0.413,18699,3.0219,5.2411
27,AUDUSD_H1_lstm_optuna,AUDUSD,H1,lstm_optuna,5.4069,5.4775,4.8757,1.1089,3.6691,3.704019655885516,0.3226,18699,3.1787,7.2464
28,AUDUSD_H1_xgb_v2_optuna,AUDUSD,H1,xgb_v2_optuna,5.4852,5.4817,4.8303,1.1356,3.5939,3.6551846811265785,0.3061,18699,2.7118,7.1525
29,GBPUSD_M5_transformer_optuna,GBPUSD,M5,transformer_optuna,1.8729,1.5365,1.1119,1.6844,9.9247,3.645442492714638,0.4214,224245,0.9426,1.2254
30,AUDUSD_H1_mlp_optuna,AUDUSD,H1,mlp_optuna,5.8655,4.5477,4.1328,1.4193,4.728,3.616439570854999,0.3879,18699,2.887,5.4599
31,AUDUSD_M15_gru_optuna,AUDUSD,M15,gru_optuna,3.6439,3.5646,2.9934,1.2173,6.5238,3.6056657040917024,0.5579,74786,2.185,3.6109
32,EURUSD_H1_rf_optuna,EURUSD,H1,rf_optuna,6.5473,6.5499,5.5174,1.1867,2.1172,3.5492963876583508,0.2578,18700,2.6675,10.4729
33,EURUSD_H1_cat_optuna,EURUSD,H1,cat_optuna,6.5405,6.5431,5.4779,1.194,2.1482,3.5379695054095825,0.2496,18700,2.9174,10.8583
34,GBPUSD_M15_nbeats_optuna,GBPUSD,M15,nbeats_optuna,3.6469,3.4475,2.5112,1.4522,7.0128,3.488289375080531,0.3895,74780,1.9594,3.1611
35,GBPUSD_M15_xgb_optuna,GBPUSD,M15,xgb_optuna,6.3991,6.3977,4.6084,1.3886,3.4811,3.4828844269783685,0.1686,74780,3.7042,7.8718
36,AUDUSD_M15_cat_v2_optuna,AUDUSD,M15,cat_v2_optuna,3.6624,3.6606,3.0515,1.2002,5.9845,3.474922488847869,0.5504,74786,2.2519,3.8695
37,AUDUSD_H1_lgb_optuna,AUDUSD,H1,lgb_optuna,7.7021,5.9504,5.3115,1.4501,2.219,3.450473933939745,0.1835,18699,2.6773,11.5681
38,AUDUSD_M5_gru_optuna,AUDUSD,M5,gru_optuna,1.7962,1.6129,1.1301,1.5894,9.1423,3.4261252255238546,0.5774,224236,0.889,1.2565
39,GBPUSD_M15_wavenet_optuna,GBPUSD,M15,wavenet_optuna,3.3567,3.0258,2.2918,1.4646,7.1632,3.422688198900677,0.4559,74780,1.6757,2.749
40,EURUSD_M30_et_optuna,EURUSD,M30,et_optuna,5.39,5.3897,4.4971,1.1985,3.3998,3.4225138737004235,0.3011,37399,2.0172,6.419
41,GBPUSD_M15_tabnet_optuna,GBPUSD,M15,tabnet_optuna,3.239,3.239,2.455,1.3194,6.8164,3.413324607580668,0.5268,74780,2.0481,3.1754
42,AUDUSD_M15_residual_mlp_optuna,AUDUSD,M15,residual_mlp_optuna,3.7264,3.4854,2.8745,1.2964,6.0907,3.407685436837582,0.4357,74786,2.3302,3.7145
43,AUDUSD_M15_xgb_optuna,AUDUSD,M15,xgb_optuna,6.2816,6.2816,4.6839,1.3411,3.036,3.3915328741933246,0.1585,74786,3.2561,7.5352
44,EURUSD_M15_tcn_optuna,EURUSD,M15,tcn_optuna,2.5275,2.0374,1.6564,1.5259,8.0997,3.381118795128852,0.4324,74790,1.3641,1.8865
45,AUDUSD_H1_attention_net_optuna,AUDUSD,H1,attention_net_optuna,7.6845,5.0608,4.5373,1.6936,3.3121,3.373787582515611,0.2594,18699,3.5183,7.0251
46,GBPUSD_M15_mlp_optuna,GBPUSD,M15,mlp_optuna,3.4275,3.0635,2.4376,1.4061,6.7151,3.366123307217316,0.5994,74780,1.7527,2.84
47,EURUSD_H1_tabnet_optuna,EURUSD,H1,tabnet_optuna,5.5271,5.5305,4.7353,1.1672,2.7968,3.364518282828283,0.2596,18700,1.813,7.1156
48,AUDUSD_M15_tabnet_optuna,AUDUSD,M15,tabnet_optuna,3.6118,3.6106,2.92,1.2369,5.8461,3.3634298204802153,0.4694,74786,2.2697,3.9357
49,AUDUSD_M15_et_optuna,AUDUSD,M15,et_optuna,4.6486,4.6471,3.5527,1.3085,4.6998,3.328285030173944,0.3075,74786,2.6929,4.5394
50,AUDUSD_M15_xgb_v2_optuna,AUDUSD,M15,xgb_v2_optuna,4.1568,4.1549,3.3988,1.223,4.9053,3.3221615797430086,0.4592,74786,2.3777,4.5166
51,AUDUSD_H1_tft_optuna,AUDUSD,H1,tft_optuna,5.2773,4.8996,4.4057,1.1978,3.0526,3.272736950223455,0.3342,18699,2.6795,7.3807
52,EURUSD_H1_cat_v2_optuna,EURUSD,H1,cat_v2_optuna,5.6023,5.6042,4.9536,1.131,2.1041,3.2704995369618195,0.4149,18700,2.5701,8.7539
53,AUDUSD_H1_cat_v2_optuna,AUDUSD,H1,cat_v2_optuna,4.7726,4.7702,4.2822,1.1145,3.2003,3.2658668217373403,0.4003,18699,2.4716,7.1581
54,AUDUSD_M15_lgb_v2_optuna,AUDUSD,M15,lgb_v2_optuna,4.0389,4.0376,3.3146,1.2185,4.8152,3.2535475237011755,0.4785,74786,2.3787,4.5017
55,GBPUSD_M5_lstm_optuna,GBPUSD,M5,lstm_optuna,1.9592,1.6288,1.1343,1.7272,8.5633,3.2455970928196147,0.4909,224245,0.9269,1.2884
56,AUDUSD_M15_lstm_optuna,AUDUSD,M15,lstm_optuna,3.6933,3.1895,2.6991,1.3684,5.8469,3.2398226695723236,0.6044,74786,2.112,3.4435
57,GBPUSD_M5_mlp_optuna,GBPUSD,M5,mlp_optuna,1.9161,1.6985,1.1762,1.629,8.3155,3.198423799884326,0.4343,224245,0.9429,1.3466
58,GBPUSD_M30_cat_optuna,GBPUSD,M30,cat_optuna,5.0068,5.0107,4.0285,1.2429,3.4451,3.196711417082434,0.3132,37394,2.8962,6.3878
59,AUDUSD_H1_tabnet_optuna,AUDUSD,H1,tabnet_optuna,5.0736,5.07,4.4455,1.1413,2.6811,3.1882014049786513,0.2893,18699,3.2144,8.7722
