rank,model_key,pair,timeframe,brain,train_pf,oos_raw_pf,oos_adj_pf,overfit_ratio,consistency_score,composite_score,trade_ratio,n_oos_bars,sub_pf_min,sub_pf_max
1,AUDUSD_H1_et_optuna,AUDUSD,H1,et_optuna,9.6285,9.6285,7.1846,1.3401,5.5207,5.38738924449691,0.1758,18699,4.9105,8.5718
2,GBPUSD_M15_et_optuna,GBPUSD,M15,et_optuna,4.4045,4.4031,2.5547,1.7241,13.2525,5.362743111671509,0.2924,74780,2.3851,2.97
3,AUDUSD_H1_xgb_optuna,AUDUSD,H1,xgb_optuna,9.2106,9.2083,7.0194,1.3122,4.1731,4.903252999575131,0.1648,18699,4.9459,9.3346
4,EURUSD_H1_xgb_optuna,EURUSD,H1,xgb_optuna,10.7466,10.7524,7.5249,1.4281,2.3896,4.61021148681369,0.2651,18700,3.2333,12.4691
5,GBPUSD_M15_cat_v2_optuna,GBPUSD,M15,cat_v2_optuna,3.7844,3.8186,2.4472,1.5465,10.3819,4.459639784391133,0.517,74780,2.1592,2.8274
6,AUDUSD_H1_cat_optuna,AUDUSD,H1,cat_optuna,9.0843,9.082,6.7544,1.3449,3.0115,4.41906788359056,0.1803,18699,4.6996,10.8165
7,GBPUSD_M15_lgb_optuna,GBPUSD,M15,lgb_optuna,4.472,4.4693,2.78,1.6086,9.5964,4.385974898747512,0.3237,74780,2.3546,3.1161
8,GBPUSD_M15_xgb_v2_optuna,GBPUSD,M15,xgb_v2_optuna,3.8585,3.857,2.4566,1.5707,9.5413,4.210400301071408,0.4838,74780,2.0213,2.8545
9,AUDUSD_M15_wavenet_optuna,AUDUSD,M15,wavenet_optuna,3.9022,3.2732,2.3483,1.6618,9.6367,4.178680263367011,0.4769,74786,2.0876,2.7452
10,AUDUSD_H1_lgb_v2_optuna,AUDUSD,H1,lgb_v2_optuna,6.2885,6.2865,5.0729,1.2396,4.7502,4.1108082979994025,0.2872,18699,3.8795,6.7681
11,EURUSD_H1_lgb_optuna,EURUSD,H1,lgb_optuna,8.3918,8.3824,6.2101,1.3513,2.3903,3.9599474829463235,0.3312,18700,2.8411,9.8025
12,GBPUSD_M15_rf_optuna,GBPUSD,M15,rf_optuna,6.0083,6.0121,3.2247,1.8632,7.1581,3.861654490627547,0.1786,74780,2.7283,4.0343
13,EURUSD_H1_et_optuna,EURUSD,H1,et_optuna,8.8181,8.8243,6.0696,1.4528,2.1312,3.802959587841319,0.2132,18700,2.8832,10.5357
14,AUDUSD_H1_nbeats_optuna,AUDUSD,H1,nbeats_optuna,7.2631,5.3605,4.4816,1.6207,4.7491,3.781761766141687,0.3276,18699,3.2632,5.8454
15,AUDUSD_H1_wavenet_optuna,AUDUSD,H1,wavenet_optuna,5.6697,5.8111,4.635,1.2233,4.3494,3.77345730824454,0.2719,18699,2.8715,6.256
16,GBPUSD_M15_lgb_v2_optuna,GBPUSD,M15,lgb_v2_optuna,3.9357,4.0095,2.5475,1.545,7.7555,3.7219805471124614,0.4217,74780,1.9524,2.8684
17,AUDUSD_H1_residual_mlp_optuna,AUDUSD,H1,residual_mlp_optuna,5.655,4.5903,3.9168,1.4438,5.1818,3.6424904599041326,0.413,18699,2.8566,4.9857
18,EURUSD_H1_xgb_v2_optuna,EURUSD,H1,xgb_v2_optuna,7.4009,7.405,5.6479,1.3104,2.165,3.6152537436188315,0.3617,18700,2.5773,8.9947
19,AUDUSD_M15_tcn_optuna,AUDUSD,M15,tcn_optuna,3.4508,2.9327,2.1859,1.5786,8.0037,3.613206908137734,0.5541,74786,1.8021,2.6137
20,AUDUSD_H1_mlp_optuna,AUDUSD,H1,mlp_optuna,5.8655,4.5477,3.8913,1.5073,5.0229,3.5769522777328437,0.3879,18699,2.73,4.85
21,USDCHF_H1_rf_optuna,USDCHF,H1,rf_optuna,7.6066,7.6132,5.453,1.3949,2.2684,3.540808213258412,0.2694,18693,3.4963,11.1715
22,AUDUSD_H1_lstm_optuna,AUDUSD,H1,lstm_optuna,5.4069,5.4775,4.5354,1.1921,3.7165,3.5374367812088847,0.3226,18699,2.9928,6.7562
23,EURUSD_M30_rf_optuna,EURUSD,M30,rf_optuna,7.5505,7.5505,5.0535,1.4941,2.9081,3.5246426434978986,0.2075,37399,2.1127,7.451
24,AUDUSD_M15_nbeats_optuna,AUDUSD,M15,nbeats_optuna,3.9299,2.7904,2.1684,1.8124,7.7397,3.510690631667015,0.6219,74786,1.8058,2.6211
25,USDCHF_M30_rf_optuna,USDCHF,M30,rf_optuna,7.3639,7.3833,4.5526,1.6175,3.7126,3.5065283260553133,0.225,37383,2.8044,7.0598
26,AUDUSD_H1_xgb_v2_optuna,AUDUSD,H1,xgb_v2_optuna,5.4852,5.4817,4.4684,1.2276,3.6771,3.487977785477553,0.3061,18699,2.5394,6.6386
27,GBPUSD_M15_nbeats_optuna,GBPUSD,M15,nbeats_optuna,3.6469,3.4475,2.013,1.8117,7.7487,3.4357289255636343,0.3895,74780,1.5445,2.3919
28,GBPUSD_M15_cat_optuna,GBPUSD,M15,cat_optuna,5.1252,5.1267,2.8742,1.7832,6.2053,3.4048922090059475,0.2232,74780,2.3774,3.6354
29,AUDUSD_H1_lgb_optuna,AUDUSD,H1,lgb_optuna,7.7021,5.9504,4.9508,1.5557,2.4044,3.3175148299812767,0.1835,18699,2.5414,9.9915
30,AUDUSD_H1_attention_net_optuna,AUDUSD,H1,attention_net_optuna,7.6845,5.0608,4.2393,1.8127,3.451,3.2595142285774035,0.2594,18699,3.3041,6.5935
31,AUDUSD_M15_gru_optuna,AUDUSD,M15,gru_optuna,3.6439,3.5646,2.687,1.3561,5.916,3.2556532037634778,0.5579,74786,1.9637,3.3248
32,EURUSD_H1_rf_optuna,EURUSD,H1,rf_optuna,6.5473,6.5499,4.8874,1.3396,2.1342,3.222887479855516,0.2578,18700,2.3025,8.9405
33,EURUSD_H1_cat_optuna,EURUSD,H1,cat_optuna,6.5405,6.5431,4.8321,1.3536,2.2066,3.2156194331315353,0.2496,18700,2.4447,9.1282
34,GBPUSD_M15_mlp_optuna,GBPUSD,M15,mlp_optuna,3.4275,3.0635,2.052,1.6703,6.8013,3.1793652019431735,0.5994,74780,1.4586,2.3484
35,AUDUSD_M15_cat_v2_optuna,AUDUSD,M15,cat_v2_optuna,3.6624,3.6606,2.7283,1.3423,5.5804,3.176937406226166,0.5504,74786,2.0441,3.5334
36,GBPUSD_M15_tabnet_optuna,GBPUSD,M15,tabnet_optuna,3.239,3.239,2.0084,1.6128,6.7752,3.1535278654834187,0.5268,74780,1.6566,2.5501
37,AUDUSD_H1_tft_optuna,AUDUSD,H1,tft_optuna,5.2773,4.8996,4.1229,1.28,3.1324,3.146097536231884,0.3342,18699,2.5443,6.8621
38,AUDUSD_H1_cat_v2_optuna,AUDUSD,H1,cat_v2_optuna,4.7726,4.7702,4.0025,1.1924,3.2618,3.1345408511296817,0.4003,18699,2.3366,6.6713
39,AUDUSD_M15_residual_mlp_optuna,AUDUSD,M15,residual_mlp_optuna,3.7264,3.4854,2.5569,1.4574,5.7011,3.117199160138693,0.4357,74786,2.0672,3.3553
40,EURUSD_M30_et_optuna,EURUSD,M30,et_optuna,5.39,5.3897,3.9541,1.3631,3.2193,3.079536056318775,0.3011,37399,1.6751,5.662
41,EURUSD_H1_tabnet_optuna,EURUSD,H1,tabnet_optuna,5.5271,5.5305,4.2364,1.3047,2.713,3.0744791556916065,0.2596,18700,1.6411,6.3673
42,AUDUSD_M15_tabnet_optuna,AUDUSD,M15,tabnet_optuna,3.6118,3.6106,2.5697,1.4055,5.4305,3.0468462304882102,0.4694,74786,2.0095,3.5439
43,EURUSD_H1_cat_v2_optuna,EURUSD,H1,cat_v2_optuna,5.6023,5.6042,4.5241,1.2383,2.0357,3.022203323619517,0.4149,18700,2.4257,8.1852
44,AUDUSD_M15_lstm_optuna,AUDUSD,M15,lstm_optuna,3.6933,3.1895,2.433,1.518,5.5693,3.010899394313968,0.6044,74786,1.9033,3.1503
45,AUDUSD_H1_tabnet_optuna,AUDUSD,H1,tabnet_optuna,5.0736,5.07,4.1013,1.2371,2.6953,3.008817443721487,0.2893,18699,2.9897,8.0341
46,AUDUSD_M15_xgb_v2_optuna,AUDUSD,M15,xgb_v2_optuna,4.1568,4.1549,3.0104,1.3808,4.5598,3.0082021285791467,0.4592,74786,2.1296,4.0977
47,AUDUSD_H1_ensemble_nn_optuna,AUDUSD,H1,ensemble_nn_optuna,5.5649,4.6551,4.048,1.3747,2.826,3.007420804231369,0.3642,18699,2.5171,6.829
48,GBPUSD_M15_transformer_optuna,GBPUSD,M15,transformer_optuna,3.7907,3.6506,2.2885,1.6564,5.7557,2.9848292780687773,0.4161,74780,1.9266,3.1011
49,GBPUSD_M15_xgb_optuna,GBPUSD,M15,xgb_optuna,6.3991,6.3977,3.6902,1.7341,3.4085,2.9766953083256094,0.1686,74780,3.0716,6.317
50,AUDUSD_M15_lgb_v2_optuna,AUDUSD,M15,lgb_v2_optuna,4.0389,4.0376,2.9411,1.3733,4.4923,2.953989677594516,0.4785,74786,2.136,4.0861
51,AUDUSD_H1_gru_optuna,AUDUSD,H1,gru_optuna,5.7175,4.4958,3.8691,1.4777,2.9702,2.952376812448501,0.3426,18699,2.1487,6.1497
52,AUDUSD_M15_xgb_optuna,AUDUSD,M15,xgb_optuna,6.2816,6.2816,3.974,1.5807,2.7954,2.944618036532397,0.1585,74786,2.751,6.4929
53,EURUSD_M30_xgb_optuna,EURUSD,M30,xgb_optuna,4.7827,4.7818,3.6878,1.2969,3.1366,2.9280541713794834,0.2683,37399,2.1523,6.2847
54,GBPUSD_M15_gru_optuna,GBPUSD,M15,gru_optuna,3.5839,3.2313,2.1884,1.6377,5.6724,2.91101466536226,0.6161,74780,1.5327,2.601
55,GBPUSD_M30_cat_optuna,GBPUSD,M30,cat_optuna,5.0068,5.0107,3.4358,1.4572,3.4974,2.8955556537374774,0.3132,37394,2.3549,5.1959
56,AUDUSD_M15_et_optuna,AUDUSD,M15,et_optuna,4.6486,4.6471,3.0446,1.5268,4.1355,2.885890742562085,0.3075,74786,2.1545,4.0122
57,AUDUSD_M15_tft_optuna,AUDUSD,M15,tft_optuna,3.8756,3.6725,2.7141,1.4279,4.6076,2.870228619019569,0.5441,74786,1.9552,3.9196
58,AUDUSD_H1_transformer_optuna,AUDUSD,H1,transformer_optuna,5.5852,4.3219,3.7029,1.5083,2.9717,2.8673149089100294,0.3764,18699,1.8303,5.8441
59,GBPUSD_H1_gru_optuna,GBPUSD,H1,gru_optuna,3.534,3.3926,2.568,1.3762,4.8131,2.8634129968838913,0.4211,18698,1.721,3.3626
60,GBPUSD_M15_wavenet_optuna,GBPUSD,M15,wavenet_optuna,3.3567,3.0258,1.8767,1.7886,6.0007,2.8444585491898757,0.4559,74780,1.3337,2.3978
61,EURUSD_H1_attention_net_optuna,EURUSD,H1,attention_net_optuna,6.1967,5.0719,3.9645,1.5631,2.4218,2.8290473507305633,0.2849,18700,1.7397,6.3783
62,EURUSD_M30_residual_mlp_optuna,EURUSD,M30,residual_mlp_optuna,3.9453,3.7658,3.0363,1.2994,3.7647,2.7904783935972564,0.5031,37399,1.681,3.7838
63,GBPUSD_H1_lstm_optuna,GBPUSD,H1,lstm_optuna,3.4867,3.1784,2.4912,1.3996,4.697,2.7880688983728996,0.4899,18698,2.1449,3.6786
64,EURUSD_H1_ensemble_nn_optuna,EURUSD,H1,ensemble_nn_optuna,5.3979,4.9247,3.8625,1.3975,2.3523,2.7704959265442404,0.3618,18700,1.5909,6.3445
65,GBPUSD_M15_residual_mlp_optuna,GBPUSD,M15,residual_mlp_optuna,3.4282,2.9213,1.9751,1.7357,5.5623,2.7651902642043904,0.5958,74780,1.4127,2.4801
66,EURUSD_M15_tcn_optuna,EURUSD,M15,tcn_optuna,2.5275,2.0374,1.4268,1.7714,6.4268,2.748311860639094,0.4324,74790,1.1049,1.6136
67,GBPUSD_H1_xgb_optuna,GBPUSD,H1,xgb_optuna,4.8218,4.8352,3.5145,1.372,2.8285,2.741669565217391,0.2932,18698,2.401,5.9138
68,EURUSD_M30_tft_optuna,EURUSD,M30,tft_optuna,3.8018,3.699,3.0497,1.2466,3.4925,2.721122204069508,0.4678,37399,1.9077,4.5005
69,AUDUSD_M15_lgb_optuna,AUDUSD,M15,lgb_optuna,4.8447,4.8462,3.2581,1.487,3.2053,2.7166639445494645,0.251,74786,2.3954,5.22
70,AUDUSD_M15_cat_optuna,AUDUSD,M15,cat_optuna,4.6525,4.6519,3.1313,1.4858,3.3969,2.7108393088661873,0.3227,74786,2.1503,5.0287
71,EURUSD_M30_lstm_optuna,EURUSD,M30,lstm_optuna,3.909,3.5077,2.8925,1.3514,3.7322,2.703707988149373,0.4944,37399,1.9862,4.4211
72,EURUSD_M30_tcn_optuna,EURUSD,M30,tcn_optuna,3.4397,4.0539,3.0374,1.1324,3.3673,2.691174972411554,0.1322,37399,1.3915,3.6665
73,GBPUSD_M15_lstm_optuna,GBPUSD,M15,lstm_optuna,3.5571,3.3984,2.2195,1.6027,4.8687,2.6878205039055616,0.6009,74780,1.6781,3.0105
74,GBPUSD_M30_cat_v2_optuna,GBPUSD,M30,cat_v2_optuna,4.078,4.0791,2.9524,1.3812,3.4746,2.653605654874426,0.5159,37394,1.8596,4.5861
75,EURUSD_M30_cat_optuna,EURUSD,M30,cat_optuna,4.3268,4.3258,3.3365,1.2968,2.788,2.6478344215349368,0.3327,37399,2.0686,6.0288
76,EURUSD_M30_ensemble_nn_optuna,EURUSD,M30,ensemble_nn_optuna,3.5544,3.2856,2.7352,1.2995,3.7749,2.6429781814933904,0.4456,37399,1.9248,4.0644
77,GBPUSD_M15_ensemble_nn_optuna,GBPUSD,M15,ensemble_nn_optuna,3.1918,3.0164,2.0138,1.585,5.0407,2.637804362017804,0.6085,74780,1.4328,2.5967
78,EURUSD_M30_cat_v2_optuna,EURUSD,M30,cat_v2_optuna,3.4511,3.451,2.8298,1.2195,3.5487,2.631082565365669,0.5294,37399,1.7133,4.2584
79,EURUSD_H1_wavenet_optuna,EURUSD,H1,wavenet_optuna,5.2562,4.3155,3.3898,1.5506,2.7,2.626068060099358,0.3594,18700,1.3175,5.728
80,EURUSD_M30_lgb_v2_optuna,EURUSD,M30,lgb_v2_optuna,3.9102,3.8596,3.107,1.2585,3.0548,2.617161199852779,0.4092,37399,2.2845,5.2884
81,NZDUSD_M30_rf_optuna,NZDUSD,M30,rf_optuna,4.2488,4.252,3.0359,1.3995,3.2102,2.6143877925975323,0.3374,37377,1.4346,4.2928
82,EURUSD_M30_transformer_optuna,EURUSD,M30,transformer_optuna,3.6506,3.2911,2.6713,1.3666,3.7343,2.5923098349925,0.5477,37399,1.7261,3.6203
83,EURUSD_M30_gru_optuna,EURUSD,M30,gru_optuna,3.9054,3.4216,2.8383,1.376,3.4012,2.57501135501355,0.5015,37399,1.8086,4.2098
84,AUDUSD_H1_cnn1d_optuna,AUDUSD,H1,cnn1d_optuna,4.3662,3.6006,3.0075,1.4518,3.1401,2.5746625879623664,0.4476,18699,2.2572,5.2968
85,AUDUSD_H1_tcn_optuna,AUDUSD,H1,tcn_optuna,5.7933,3.9518,3.3128,1.7488,2.6679,2.5649482778018173,0.4672,18699,2.3208,6.2829
86,AUDUSD_M15_ensemble_nn_optuna,AUDUSD,M15,ensemble_nn_optuna,3.5797,2.9008,2.2492,1.5915,4.4061,2.564668250073899,0.5298,74786,1.564,3.0047
87,GBPUSD_M30_lgb_v2_optuna,GBPUSD,M30,lgb_v2_optuna,4.5028,4.3837,3.1159,1.4451,2.9118,2.56093146009967,0.4505,37394,1.6374,5.1248
88,EURUSD_M30_xgb_v2_optuna,EURUSD,M30,xgb_v2_optuna,3.7276,3.7274,3.0246,1.2324,2.9937,2.560515073551486,0.4646,37399,1.8085,4.937
89,EURUSD_M30_attention_net_optuna,EURUSD,M30,attention_net_optuna,3.523,3.6314,2.9617,1.1895,3.078,2.559348875533152,0.5358,37399,1.7012,3.9653
90,GBPUSD_M30_xgb_v2_optuna,GBPUSD,M30,xgb_v2_optuna,4.2639,4.2661,3.1194,1.3669,2.843,2.548941945599564,0.4218,37394,1.6856,5.2435
91,EURUSD_H1_gru_optuna,EURUSD,H1,gru_optuna,5.814,4.1877,3.4672,1.6768,2.3381,2.5475919090499772,0.437,18700,1.7287,6.0471
92,AUDUSD_M15_mlp_optuna,AUDUSD,M15,mlp_optuna,3.7543,3.4894,2.5516,1.4714,3.7185,2.5186250413643885,0.4343,74786,1.5887,3.6736
93,EURUSD_M30_wavenet_optuna,EURUSD,M30,wavenet_optuna,3.3003,2.8208,2.306,1.4312,4.0437,2.4967265099268547,0.4776,37399,1.8122,3.5497
94,AUDUSD_M30_nbeats_optuna,AUDUSD,M30,nbeats_optuna,4.0308,4.2251,3.3863,1.1903,2.1392,2.4899127125474694,0.4301,37395,2.0859,5.6357
95,EURUSD_M30_lgb_optuna,EURUSD,M30,lgb_optuna,4.6865,3.8121,3.0803,1.5214,2.7407,2.485710191192796,0.2916,37399,2.32,6.0717
96,AUDUSD_M15_cnn1d_optuna,AUDUSD,M15,cnn1d_optuna,2.7369,2.4558,1.8239,1.5006,4.7981,2.4763331425715354,0.4642,74786,1.3517,2.4588
97,EURUSD_M30_mlp_optuna,EURUSD,M30,mlp_optuna,3.5637,3.0771,2.5761,1.3834,3.5021,2.4735054011055686,0.5031,37399,1.8065,4.0141
98,GBPUSD_M30_lgb_optuna,GBPUSD,M30,lgb_optuna,5.3506,4.6443,3.2922,1.6253,2.3583,2.4695118686605224,0.262,37394,1.5875,5.9441
99,AUDUSD_M15_attention_net_optuna,AUDUSD,M15,attention_net_optuna,3.5507,3.1042,2.3692,1.4987,3.822,2.456301645086633,0.4748,74786,1.7248,3.4135
100,GBPUSD_M15_attention_net_optuna,GBPUSD,M15,attention_net_optuna,3.0469,2.8865,1.9797,1.5391,4.3497,2.416778180708926,0.6491,74780,1.3853,2.6267
101,NZDUSD_H1_et_optuna,NZDUSD,H1,et_optuna,4.4346,4.4367,3.2217,1.3765,2.2322,2.4159654690145613,0.1799,18692,2.4823,6.7788
102,GBPUSD_M30_tabnet_optuna,GBPUSD,M30,tabnet_optuna,3.5475,3.3619,2.5003,1.4188,3.4196,2.407712907558599,0.475,37394,1.5568,3.6294
103,NZDUSD_M15_rf_optuna,NZDUSD,M15,rf_optuna,4.5837,4.5863,2.8196,1.6256,2.8516,2.3811817153453867,0.2375,74728,1.3377,4.128
104,GBPUSD_H1_xgb_v2_optuna,GBPUSD,H1,xgb_v2_optuna,3.6235,3.6357,2.7473,1.319,2.7587,2.3422043269908386,0.3143,18698,2.1661,5.2625
105,EURUSD_H4_ensemble_nn_optuna,EURUSD,H4,ensemble_nn_optuna,2.7736,2.1948,1.9951,1.3902,4.0331,2.341690173131123,0.459,4834,1.0954,2.6486
106,AUDUSD_M15_transformer_optuna,AUDUSD,M15,transformer_optuna,3.7067,3.1606,2.3816,1.5564,3.409,2.3342437816952426,0.5024,74786,1.7317,3.633
107,GBPUSD_M30_tft_optuna,GBPUSD,M30,tft_optuna,3.9086,3.7871,2.7277,1.4329,2.7537,2.320431655032944,0.4324,37394,1.4142,4.5646
108,EURUSD_M30_nbeats_optuna,EURUSD,M30,nbeats_optuna,3.9185,3.0136,2.5301,1.5488,3.069,2.307050339640951,0.5111,37399,1.6712,3.8546
109,GBPUSD_H1_lgb_optuna,GBPUSD,H1,lgb_optuna,3.6059,3.6342,2.7702,1.3017,2.5498,2.2927238838553183,0.341,18698,1.7548,5.424
110,GBPUSD_H1_residual_mlp_optuna,GBPUSD,H1,residual_mlp_optuna,3.3612,2.7724,2.186,1.5376,3.5843,2.2904199462628236,0.4633,18698,1.195,3.6231
111,EURUSD_H1_cnn1d_optuna,EURUSD,H1,cnn1d_optuna,5.4997,3.8939,3.0927,1.7783,2.1022,2.2834892631634984,0.4199,18700,1.3223,6.3529
112,EURUSD_H1_residual_mlp_optuna,EURUSD,H1,residual_mlp_optuna,4.9423,3.5544,3.02,1.6365,2.1294,2.2639942009789804,0.5253,18700,1.4855,5.7564
113,NZDUSD_M30_et_optuna,NZDUSD,M30,et_optuna,3.4594,3.4616,2.5679,1.3472,2.7141,2.2363778993919294,0.3249,37377,1.2932,4.1311
114,GBPUSD_H1_cat_optuna,GBPUSD,H1,cat_optuna,3.8413,3.8521,2.7924,1.3756,2.3393,2.233528086202223,0.2736,18698,1.4704,5.6488
115,GBPUSD_H4_xgb_optuna,GBPUSD,H4,xgb_optuna,2.4708,2.4702,2.1878,1.1294,3.1816,2.2110609825931347,0.2241,4833,0.8221,3.0102
116,EURUSD_H1_lstm_optuna,EURUSD,H1,lstm_optuna,5.5917,3.3668,2.8238,1.9802,2.3379,2.209414601480627,0.4081,18700,1.6519,5.7696
117,GBPUSD_M30_residual_mlp_optuna,GBPUSD,M30,residual_mlp_optuna,3.9675,3.5686,2.6351,1.5056,2.5345,2.2024640259093173,0.5305,37394,1.3417,4.8752
118,EURUSD_M30_tabnet_optuna,EURUSD,M30,tabnet_optuna,2.8875,2.8877,2.3988,1.2037,2.8299,2.2017795267316096,0.5014,37399,1.6395,3.8974
119,AUDUSD_H4_xgb_v2_optuna,AUDUSD,H4,xgb_v2_optuna,2.1717,2.1712,1.9748,1.0997,3.476,2.1969083437526047,0.1833,4834,1.2031,2.8128
120,GBPUSD_H1_cat_v2_optuna,GBPUSD,H1,cat_v2_optuna,2.6956,2.6991,2.1187,1.2723,3.2963,2.193980727246229,0.3927,18698,1.5171,3.6692
121,AUDUSD_M30_tcn_optuna,AUDUSD,M30,tcn_optuna,4.0543,3.5013,2.6712,1.5178,2.4206,2.1854046754852265,0.272,37395,1.436,4.2857
